essround,idno,gndr,nwspol,netusoft,netustm,ppltrst,pplfair,pplhlp,hincfel,grdfinc,gvctzpv,cntry,happy,sclmeet,inprdsc,sclact,crmvct,aesfdrk
10,10600,Naine,3,Mitte kunagi,NA,5,3,3,Saame hakkama praeguse sissetuleku juures,6,6,EE,8,Vähem kui kord kuus,3,Palju harvemini kui enamik eakaaslasi,Ei,mitte eriti turvaliselt
10,10620,Naine,30,Iga päev,780,5,7,4,Saame hakkama praeguse sissetuleku juures,10,10,EE,7,Kord nädalas,2,Palju harvemini kui enamik eakaaslasi,Ei,väga turvaliselt
10,10636,Naine,30,Iga päev,60,9,9,7,Saame hakkama praeguse sissetuleku juures,9,9,EE,8,Vähem kui kord kuus,3,Palju harvemini kui enamik eakaaslasi,Ei,väga turvaliselt
10,10659,Mees,30,Iga päev,420,6,6,5,Elame mugavalt praeguse sissetuleku juures,7,6,EE,9,Mitu korda nädalas,4-6,Umbes sama tihti kui enamik eakaaslasi,Jah,väga turvaliselt
10,10686,Mees,15,Iga päev,60,7,9,6,Saame hakkama praeguse sissetuleku juures,3,7,EE,8,Mitu korda kuus,3,Umbes sama tihti kui enamik eakaaslasi,Ei,väga turvaliselt
10,10697,Mees,90,Iga päev,720,6,6,6,Saame hakkama praeguse sissetuleku juures,4,5,EE,8,Kord nädalas,3,Umbes sama tihti kui enamik eakaaslasi,Ei,turvaliselt
10,10700,Mees,60,Iga päev,480,5,5,5,Praeguse sissetuleku juures on väga raske hakkama saada,6,8,EE,4,Kord kuus,3,NA,Jah,turvaliselt
10,10711,Mees,15,Iga päev,360,4,5,3,Saame hakkama praeguse sissetuleku juures,10,10,EE,8,Kord nädalas,2,Harvemini kui enamik eakaaslasi,Ei,turvaliselt
10,10718,Mees,30,Iga päev,60,1,1,2,Elame mugavalt praeguse sissetuleku juures,8,10,EE,5,Vähem kui kord kuus,Mitte ühtegi,Palju harvemini kui enamik eakaaslasi,Ei,väga turvaliselt
10,10736,Mees,0,Mõni kord nädalas,NA,0,0,0,Elame mugavalt praeguse sissetuleku juures,10,10,EE,5,Vähem kui kord kuus,Mitte ühtegi,Harvemini kui enamik eakaaslasi,Ei,väga turvaliselt
10,10752,Mees,70,Iga päev,480,5,3,2,Elame mugavalt praeguse sissetuleku juures,3,6,EE,8,Mitu korda nädalas,7-9,Umbes sama tihti kui enamik eakaaslasi,Ei,väga turvaliselt
10,10764,Mees,30,Iga päev,120,5,5,5,Saame hakkama praeguse sissetuleku juures,10,10,EE,5,Vähem kui kord kuus,2,Harvemini kui enamik eakaaslasi,Ei,mitte eriti turvaliselt
10,10796,Naine,60,Enamikul päevadel,480,8,8,8,Elame mugavalt praeguse sissetuleku juures,6,8,EE,8,Mitu korda kuus,4-6,Umbes sama tihti kui enamik eakaaslasi,Ei,turvaliselt
10,10797,Naine,60,Enamikul päevadel,300,5,5,5,Saame hakkama praeguse sissetuleku juures,5,5,EE,9,Kord nädalas,3,Umbes sama tihti kui enamik eakaaslasi,Ei,mitte eriti turvaliselt
10,10810,Mees,30,Mõni kord nädalas,NA,9,9,6,Praeguse sissetuleku juures on raske hakkama saada,10,10,EE,9,Kord nädalas,2,Umbes sama tihti kui enamik eakaaslasi,Ei,turvaliselt
